ime,dirkalisce,drzava,datum,prvenstvo,zmagovalec
Mexican Grand Prix,Gran Premio de Mexico,MEX,28/10/2018,F1 World Championship,Max Verstappen
Australian MotoGP,Michelin Australian Motorcycle Grand Prix,AUS,28/10/2018,World Motorcycle Championship,Maverick Vinales
Martinsville NASCAR,First Data 500,USA,28/10/2018,Monster Energy NASCAR Cup,Joey Logano
Suzuka WTCR,Race of Japan - Race 2,JPN,28/10/2018,World Touring Car Cup,Rob Huff
Suzuka WTCR,Race of Japan - Race 3,JPN,28/10/2018,World Touring Car Cup,Gabriele Tarquini
Suzuka Super Formula,,JPN,28/10/2018,Japanese Super Formula Championship,Naoki Yamamoto
Suzuka WTCR,Race of Japan - Race 1,JPN,27/10/2018,World Touring Car Cup,Kevin Ceccon
Japanese MotoGP,Motul Grand Prix of Japan,JPN,21/10/2018,World Motorcycle Championship,Marc Marquez
Kansas NASCAR,Hollywood Casino 400,USA,21/10/2018,Monster Energy NASCAR Cup,Chase Elliott
United States Grand Prix,Pirelli United States Grand Prix,USA,21/10/2018,F1 World Championship,Kimi Raikkonen
Fuji 6 Hours,6 Hours of Fuji,JPN,14/10/2018,Jose Maria Lopez,Mike Conway
Talladega NASCAR,1000bulbs.com 500,USA,14/10/2018,Monster Energy NASCAR Cup,Aric Almirola
Hockenheim DTM,,DEU,14/10/2018,Deutsche Tourenwagen Meisterschaft,Rene Rast
Hockenheim European F3,,DEU,14/10/2018,European F3 Championship,Robert Shwartzman
Petit Le Mans,Motul Petit Le Mans,USA,13/10/2018,Jordan Taylor,Ryan Hunter-Reay
Hockenheim DTM,,DEU,13/10/2018,Deutsche Tourenwagen Meisterschaft,Rene Rast
Hockenheim European F3,,DEU,13/10/2018,European F3 Championship,Guanyu Zhou
Hockenheim European F3,,DEU,13/10/2018,European F3 Championship,Juri Vips
Thailand MotoGP,PTT Thailand Grand Prix,THA,07/10/2018,World Motorcycle Championship,Marc Marquez
Dover Downs NASCAR,Gander Outdoors 400,USA,07/10/2018,Monster Energy NASCAR Cup,Chase Elliott
Wuhan WTCR,Race of China/Wuhan - Race 2,CHN,07/10/2018,World Touring Car Cup,Mehdi Bennani
Wuhan WTCR,Race of China/Wuhan - Race 3,CHN,07/10/2018,World Touring Car Cup,Gordon Shedden
Japanese Grand Prix,Honda Japanese Grand Prix,JPN,07/10/2018,F1 World Championship,Lewis Hamilton
Wuhan WTCR,Race of China/Wuhan - Race 1,CHN,06/10/2018,World Touring Car Cup,Jean-Karl Vernay
Russian Grand Prix,VTB Russian Grand Prix,RUS,30/09/2018,F1 World Championship,Lewis Hamilton
Sochi F2,,RUS,30/09/2018,FIA Formula 2 Championship,George Russell
Sochi GP3,,RUS,30/09/2018,GP3 Series,David Beckmann
Charlotte NASCAR,Bank Of America Roval 400,USA,30/09/2018,Monster Energy NASCAR Cup,Dave Blaney
Ningbo WTCR,Race of China/Ningbo - Race 2,CHN,30/09/2018,World Touring Car Cup,Yvan Muller
Ningbo WTCR,Race of China/Ningbo - Race 3,CHN,30/09/2018,World Touring Car Cup,Thed Bjork
Barcelona Blancpain,,ESP,30/09/2018,Raffaele Marciello,Daniel Juncadella
Sochi F2,,RUS,29/09/2018,FIA Formula 2 Championship,Alexander Albon
Sochi GP3,,RUS,29/09/2018,GP3 Series,Leonardo Pulcini
Ningbo WTCR,Race of China/Ningbo - Race 1,CHN,29/09/2018,World Touring Car Cup,Thed Bjork
Aragon MotoGP,Gran Premio Movistar de Aragon,ESP,23/09/2018,World Motorcycle Championship,Marc Marquez
Spielberg DTM,,AUT,23/09/2018,Deutsche Tourenwagen Meisterschaft,Rene Rast
Spielberg European F3,,AUT,23/09/2018,European F3 Championship,Mick Schumacher
Spielberg European F3,,AUT,23/09/2018,European F3 Championship,Robert Shwartzman
Richmond NASCAR,Federated Auto Parts 400,USA,22/09/2018,Monster Energy NASCAR Cup,Kyle Busch
Spielberg DTM,,AUT,22/09/2018,Deutsche Tourenwagen Meisterschaft,Rene Rast
Spielberg European F3,,AUT,22/09/2018,European F3 Championship,Mick Schumacher
Sears Point Indycars,Grand Prix of Sonoma,USA,16/09/2018,Verizon IndyCar Series,Ryan Hunter-Reay
Las Vegas NASCAR,South Point 400,USA,16/09/2018,Monster Energy NASCAR Cup,Brad Keselowski
Singapore Grand Prix,Singapore Airlines Singapore Grand Prix,SGP,16/09/2018,F1 World Championship,Lewis Hamilton
Brickyard NASCAR,Big Machine Vodka 400 at the Brickyard,USA,10/09/2018,Monster Energy NASCAR Cup,Brad Keselowski
Laguna Seca United Sports Cars,Continental Tire Monterey Grand Prix,USA,09/09/2018,Johannes van Overbeek,Luis Felipe Derani
San Marino MotoGP,Gran Premio Octo di San Marino e della Riviera di Rimini,ITA,09/09/2018,World Motorcycle Championship,Andrea Dovizioso
Okayama Super Formula,,JPN,09/09/2018,Japanese Super Formula Championship,Yuhi Sekiguchi
Nurburgring DTM,,DEU,09/09/2018,Deutsche Tourenwagen Meisterschaft,Rene Rast
Nurburgring European F3,,DEU,09/09/2018,European F3 Championship,Mick Schumacher
